Tract,heat_days,FIPS,GEOID,heat_bin,heat_label
2184,16.075001,6037218400,06037218400,1,less tha 25
2186,16.075001,6037218600,06037218600,1,less tha 25
2181.20,16.075001,6037218120,06037218120,1,less tha 25
2189,16.075001,6037218900,06037218900,1,less tha 25
2362.02,16.075001,6037236202,06037236202,1,less tha 25
2193,16.075001,6037219300,06037219300,1,less tha 25
2162,16.075001,6037216200,06037216200,1,less tha 25
2345.02,16.075001,6037234502,06037234502,1,less tha 25
2127.02,16.075001,6037212702,06037212702,1,less tha 25
2195,16.075001,6037219500,06037219500,1,less tha 25
2128,16.075001,6037212800,06037212800,1,less tha 25
2185,16.075001,6037218500,06037218500,1,less tha 25
2200,16.075001,6037220000,06037220000,1,less tha 25
2197,16.075001,6037219700,06037219700,1,less tha 25
2127.01,16.075001,6037212701,06037212701,1,less tha 25
2342,16.075001,6037234200,06037234200,1,less tha 25
2129,16.075001,6037212900,06037212900,1,less tha 25
2361,16.075001,6037236100,06037236100,1,less tha 25
2190.10,16.075001,6037219010,06037219010,1,less tha 25
2343,16.075001,6037234300,06037234300,1,less tha 25
2362.03,16.075001,6037236203,06037236203,1,less tha 25
2169,16.075001,6037216900,06037216900,1,less tha 25
2181.10,16.075001,6037218110,06037218110,1,less tha 25
2187.02,16.075001,6037218702,06037218702,1,less tha 25
2182.20,16.075001,6037218220,06037218220,1,less tha 25
2182.10,16.075001,6037218210,06037218210,1,less tha 25
2183,16.075001,6037218300,06037218300,1,less tha 25
2199.01,16.075001,6037219901,06037219901,1,less tha 25
2161,16.075001,6037216100,06037216100,1,less tha 25
2198,16.075001,6037219800,06037219800,1,less tha 25
2345.01,16.174999,6037234501,06037234501,1,less tha 25
7031,16.174999,6037703100,06037703100,1,less tha 25
7032,16.174999,6037703200,06037703200,1,less tha 25
2364,16.174999,6037236400,06037236400,1,less tha 25
2702,16.25,6037270200,06037270200,1,less tha 25
7025.02,16.25,6037702502,06037702502,1,less tha 25
2167,16.25,6037216700,06037216700,1,less tha 25
2199.02,16.25,6037219902,06037219902,1,less tha 25
2703,16.25,6037270300,06037270300,1,less tha 25
2201,16.25,6037220100,06037220100,1,less tha 25
2168,16.25,6037216800,06037216800,1,less tha 25
7024,16.25,6037702400,06037702400,1,less tha 25
2360,16.341667,6037236000,06037236000,1,less tha 25
7030.01,16.358334,6037703001,06037703001,1,less tha 25
5437.02,16.375,6037543702,06037543702,1,less tha 25
5436.04,16.375,6037543604,06037543604,1,less tha 25
5436.03,16.375,6037543603,06037543603,1,less tha 25
5436.02,16.375,6037543602,06037543602,1,less tha 25
2933.01,16.375,6037293301,06037293301,1,less tha 25
6510.01,16.475,6037651001,06037651001,1,less tha 25
2963,17.091667,6037296300,06037296300,1,less tha 25
2964.02,17.091667,6037296402,06037296402,1,less tha 25
2962.10,17.091667,6037296210,06037296210,1,less tha 25
2965,17.091667,6037296500,06037296500,1,less tha 25
6707.01,17.091667,6037670701,06037670701,1,less tha 25
2392.02,19.799999,6037239202,06037239202,1,less tha 25
2404.01,19.799999,6037240401,06037240401,1,less tha 25
2294.20,19.799999,6037229420,06037229420,1,less tha 25
2405,19.799999,6037240500,06037240500,1,less tha 25
2402,19.799999,6037240200,06037240200,1,less tha 25
2400.10,19.799999,6037240010,06037240010,1,less tha 25
2403,19.799999,6037240300,06037240300,1,less tha 25
2393.10,19.799999,6037239310,06037239310,1,less tha 25
2393.30,19.799999,6037239330,06037239330,1,less tha 25
2397.01,19.799999,6037239701,06037239701,1,less tha 25
2395.01,19.799999,6037239501,06037239501,1,less tha 25
2294.10,19.799999,6037229410,06037229410,1,less tha 25
2376,19.799999,6037237600,06037237600,1,less tha 25
2377.20,19.799999,6037237720,06037237720,1,less tha 25
2395.02,19.799999,6037239502,06037239502,1,less tha 25
2326,19.799999,6037232600,06037232600,1,less tha 25
2398.01,19.799999,6037239801,06037239801,1,less tha 25
2383.20,19.799999,6037238320,06037238320,1,less tha 25
2327,19.799999,6037232700,06037232700,1,less tha 25
2371.02,19.799999,6037237102,06037237102,1,less tha 25
2372.01,19.799999,6037237201,06037237201,1,less tha 25
2397.02,19.799999,6037239702,06037239702,1,less tha 25
6001,19.799999,6037600100,06037600100,1,less tha 25
2412.01,19.799999,6037241201,06037241201,1,less tha 25
2406,19.799999,6037240600,06037240600,1,less tha 25
2382,19.799999,6037238200,06037238200,1,less tha 25
2328,19.799999,6037232800,06037232800,1,less tha 25
2396.02,19.799999,6037239602,06037239602,1,less tha 25
2396.01,19.799999,6037239601,06037239601,1,less tha 25
2377.10,19.799999,6037237710,06037237710,1,less tha 25
2378,19.799999,6037237800,06037237800,1,less tha 25
2398.02,19.799999,6037239802,06037239802,1,less tha 25
2383.10,19.799999,6037238310,06037238310,1,less tha 25
2371.01,19.799999,6037237101,06037237101,1,less tha 25
6002.02,19.799999,6037600202,06037600202,1,less tha 25
2393.20,19.799999,6037239320,06037239320,1,less tha 25
2374.01,19.799999,6037237401,06037237401,1,less tha 25
2407,19.799999,6037240700,06037240700,1,less tha 25
2374.02,19.799999,6037237402,06037237402,1,less tha 25
2404.02,19.799999,6037240402,06037240402,1,less tha 25
6002.01,19.799999,6037600201,06037600201,1,less tha 25
2392.01,19.799999,6037239201,06037239201,1,less tha 25
2400.20,19.799999,6037240020,06037240020,1,less tha 25
2375,19.799999,6037237500,06037237500,1,less tha 25
2381,19.833334,6037238100,06037238100,1,less tha 25
2325,19.833334,6037232500,06037232500,1,less tha 25
2384,19.833334,6037238400,06037238400,1,less tha 25
2373,19.833334,6037237300,06037237300,1,less tha 25
2380,19.833334,6037238000,06037238000,1,less tha 25
2372.02,19.833334,6037237202,06037237202,1,less tha 25
2379,19.833334,6037237900,06037237900,1,less tha 25
2412.02,20.233334,6037241202,06037241202,1,less tha 25
2411.10,20.233334,6037241110,06037241110,1,less tha 25
2408,20.233334,6037240800,06037240800,1,less tha 25
6003.02,20.233334,6037600302,06037600302,1,less tha 25
2411.20,20.233334,6037241120,06037241120,1,less tha 25
2409,20.233334,6037240900,06037240900,1,less tha 25
6003.03,20.233334,6037600303,06037600303,1,less tha 25
6003.04,20.233334,6037600304,06037600304,1,less tha 25
6004,20.266666,6037600400,06037600400,1,less tha 25
2626.04,21.083334,6037262604,06037262604,1,less tha 25
5414,24.275,6037541400,06037541400,1,less tha 25
5420,24.275,6037542000,06037542000,1,less tha 25
5425.01,24.275,6037542501,06037542501,1,less tha 25
5432.01,24.275,6037543201,06037543201,1,less tha 25
5426.02,24.275,6037542602,06037542602,1,less tha 25
5416.05,24.275,6037541605,06037541605,1,less tha 25
5427,24.275,6037542700,06037542700,1,less tha 25
5402.02,24.275,6037540202,06037540202,1,less tha 25
5426.01,24.275,6037542601,06037542601,1,less tha 25
5405.02,24.275,6037540502,06037540502,1,less tha 25
5405.01,24.275,6037540501,06037540501,1,less tha 25
5421.05,24.275,6037542105,06037542105,1,less tha 25
5425.02,24.275,6037542502,06037542502,1,less tha 25
5416.06,24.275,6037541606,06037541606,1,less tha 25
