geoid,name,population,value,percentile,t_percentile,fips
06037408138,4081.3799,5432,116.30833,.66104198,66.104195,06037408138
06037574901,5749.0098,3697,44.200001,.36096498,36.096497,06037574901
06037432201,4322.0098,4491,122.40833,.71917105,71.917107,06037432201
06037430701,4307.0098,5846,140.35834,.87662005,87.662003,06037430701
06037121600,1216,2735,103.30833,.59264725,59.264725,06037121600
06037701801,7018.0098,7001,4.6083331,.036058001,3.6058002,06037701801
06099002503,25.030001,4848,119.28333,.68728346,68.728348,06099002503
06041125000,1250,4177,27.641666,.26831773,26.831774,06041125000
06037189903,1899.03,2089,29.533333,.27704349,27.70435,06037189903
06073003111,31.110001,6402,12.8,.15783395,15.783395,06073003111
06065041404,414.04001,3927,139.35834,.86699605,86.699608,06065041404
06037269500,2695,3797,10.691667,.1347363,13.47363,06037269500
06099003908,39.080002,2428,120.725,.70159119,70.159119,06099003908
06019003804,38.040001,6349,143.58333,.90927756,90.927757,06019003804
06037134520,1345.2,6065,127.26667,.77499038,77.499039,06037134520
06037135113,1351.13,3485,129.39166,.79609907,79.609909,06037135113
06115040600,406,5702,133.20833,.8166303,81.663033,06115040600
06065043003,430.03,7243,150.20833,.95759016,95.759018,06065043003
06037267700,2677,3276,4.6083331,.036058001,3.6058002,06037267700
06001450744,4507.4399,6273,92.491669,.55241883,55.241882,06001450744
06037297602,2976.02,3687,15.625,.18567945,18.567945,06037297602
06001421100,4211,2084,5.5,.043051455,4.3051457,06001421100
06019001600,16,5177,144.35834,.92031312,92.031311,06019001600
06037117405,1174.05,3574,105.85833,.6079815,60.798149,06037117405
06073019404,194.03999,3409,35.716667,.30604389,30.604389,06073019404
06037534203,5342.0298,3206,90.333336,.54131913,54.131912,06037534203
06059075506,755.06,3636,58.433334,.43064287,43.064289,06059075506
06037131010,1310.1,6686,123.44167,.73097652,73.097649,06037131010
06067003203,32.029999,2680,119.84167,.69427693,69.427696,06067003203
06001451504,4515.04,1709,90.650002,.54548955,54.548954,06001451504
06029003103,31.030001,4084,149.60834,.95688438,95.688438,06029003103
06059110004,1100.04,4953,42.608334,.35384318,35.384319,06059110004
06059088903,889.03003,8826,53.691666,.4101758,41.017578,06059088903
06037134001,1340.01,3864,127.26667,.77499038,77.499039,06037134001
06037276400,2764,4071,8.4333334,.083793148,8.3793144,06037276400
06071025100,251,1343,214.60834,.99846017,99.846016,06071025100
06065040806,408.06,3202,129.89999,.80007702,80.007706,06065040806
06065040808,408.07999,8774,129.89999,.80007702,80.007706,06065040808
06037277000,2770,5566,8.4333334,.083793148,8.3793144,06037277000
06075013500,135,2606,4.1833334,.027268061,2.7268062,06075013500
06001400600,4006,1745,6.3833332,.053317077,5.331708,06001400600
06067007602,76.019997,4661,125.275,.75291932,75.291931,06067007602
06029003803,38.029999,8602,147.48334,.94854355,94.854355,06029003803
06059032040,320.39999,2620,10.925,.13865007,13.865007,06059032040
06059063806,638.06,3836,14.575,.17823687,17.823687,06059063806
06007000401,4.0100002,4186,134.125,.82112151,82.112152,06007000401
06037113321,1133.21,6180,127.61667,.78191966,78.191963,06037113321
06037117408,1174.08,3073,105.85833,.6079815,60.798149,06037117408
06075030600,306,2495,.89999998,.004042089,.4042089,06075030600
06037535605,5356.0498,4440,44.299999,.36430129,36.43013,06037535605
06037482102,4821.02,2943,101.36667,.5824458,58.244579,06037482102
06037124105,1241.05,2538,78.75,.49589375,49.589375,06037124105
06037310601,3106.01,6383,96.541664,.56416017,56.416016,06037310601
06077005124,51.240002,3474,119.5,.68920827,68.92083,06077005124
06065044300,443,4847,138.49167,.85794944,85.794945,06065044300
06037433307,4333.0698,3193,134.45,.82426536,82.426537,06037433307
06049000200,2,1650,82.683334,.5122546,51.22546,06049000200
06109004200,42,3487,122.66666,.72295648,72.295647,06109004200
06109002100,21,4391,122.20834,.71628386,71.628387,06109002100
06013373000,3730,4468,9.4666662,.11266521,11.266521,06013373000
06059021809,218.09,3188,88.625,.53304249,53.304249,06059021809
06059099905,999.04999,4265,42.608334,.35384318,35.384319,06059099905
06037234000,2340,5417,16.075001,.19337867,19.337868,06037234000
06065042517,425.17001,3335,130.875,.80379826,80.379829,06065042517
06037240500,2405,7326,19.799999,.22359811,22.35981,06037240500
06065042519,425.19,1873,130.89166,.8046965,80.46965,06065042519
06065044000,440,1734,138.56667,.86006671,86.006668,06065044000
06059075816,758.15997,3630,51.424999,.40100089,40.10009,06059075816
06037106113,1061.13,3697,103.425,.596946,59.694599,06037106113
06067005404,54.040001,5440,124.41666,.74335945,74.335945,06067005404
06075023400,234,3661,2.6083333,.015013474,1.5013474,06075023400
06037574902,5749.02,5549,40.891666,.3348518,33.48518,06037574902
06081604000,6040,3326,5.625,.04529706,4.529706,06081604000
06065044101,441.01001,3409,136.425,.84075451,84.075455,06065044101
06037311200,3112,3171,78.558334,.49262157,49.262157,06037311200
06065031703,317.03,4115,140.875,.8809188,88.091881,06065031703
06037128102,1281.02,4625,105.88333,.61061209,61.061211,06037128102
06075025100,251,3473,2.6083333,.015013474,1.5013474,06075025100
06037141201,1412.01,4583,83.616669,.51546258,51.546257,06037141201
06073004000,40,4513,13.15,.16572565,16.572565,06073004000
06001422900,4229,5761,6.3833332,.053317077,5.331708,06001422900
06077005307,53.07,3352,124.625,.74592584,74.592583,06077005307
06073013205,132.05,2431,7.875,.074425764,7.4425764,06073013205
06073009107,91.07,5095,10.775,.13717438,13.717439,06073009107
06001433900,4339,7685,14.4,.17695367,17.695368,06001433900
06067008207,82.07,4178,125.76667,.75741053,75.741051,06067008207
06067001400,14,2362,119.66666,.69177467,69.177467,06067001400
06029002808,28.08,7110,143.95833,.9138971,91.389709,06029002808
06109005201,52.009998,2170,136.60001,.84165275,84.165276,06109005201
06037104620,1046.2,3528,103.38333,.5957911,59.579109,06037104620
06053000400,4,7745,9.8500004,.1226742,12.26742,06053000400
06065042206,422.06,5820,134.95,.83036059,83.036057,06065042206
06071009710,97.099998,7740,135.11667,.83125883,83.125885,06071009710
06059099404,994.03998,4420,31.683332,.29231361,29.231361,06059099404
06073020903,209.03,3045,155.40834,.97260362,97.260361,06073020903
06037106604,1066.04,5068,108.375,.61747724,61.747723,06037106604
06111000701,7.0100002,7508,41.458332,.34332094,34.332092,06111000701
06073003213,32.130001,4582,30.608334,.28807905,28.807905,06073003213
06037203720,2037.2,4072,61.916668,.45034006,45.034008,06037203720
06113010204,102.04,5189,119.81667,.69382781,69.382782,06113010204
06065043228,432.28,3842,147.05,.94482225,94.482224,06065043228
06113011205,112.05,8168,129.25,.79468757,79.468758,06113011205
06085503707,5037.0698,6087,41.366665,.340947,34.0947,06085503707
06075026402,264.01999,5102,2.6083333,.015013474,1.5013474,06075026402
06037601302,6013.02,7333,8.6166668,.087450273,8.7450275,06037601302
06037119400,1194,5499,110.33334,.62690878,62.69088,06037119400
06071005701,57.009998,1580,150.60834,.95977157,95.977158,06071005701
06073017108,171.08,4859,57.049999,.42608753,42.608753,06073017108
06037534405,5344.0498,4351,90.366669,.54382139,54.382141,06037534405
06053013900,139,2362,5.7416668,.046708584,4.6708584,06053013900
06013336101,3361.01,5236,82.974998,.51289618,51.289619,06013336101
06065043306,433.06,5142,157.93333,.9744001,97.44001,06065043306
06037600202,6002.02,7767,19.799999,.22359811,22.35981,06037600202
06073011602,116.02,3900,6.4250002,.056525089,5.6525087,06073011602
06037555001,5550.0098,5321,47.650002,.38354933,38.354935,06037555001
06059099217,992.16998,2454,14.233334,.17438728,17.438728,06059099217
06085503212,5032.1201,4379,48.125,.38707814,38.707813,06085503212
06077003203,32.029999,3669,116.40833,.66501987,66.501984,06077003203
06037228720,2287.2,4825,62.349998,.45425382,45.425381,06037228720
06037530102,5301.02,4862,115.71667,.65347105,65.347107,06037530102
06059076103,761.03003,9563,49.191666,.39259592,39.25959,06059076103
06065043503,435.03,3875,162.31667,.97895545,97.895546,06065043503
06077005129,51.290001,3437,122.88333,.72629285,72.629288,06077005129
06037572600,5726,5357,26.366667,.26440394,26.440393,06037572600
06043000101,1.01,3883,136.14166,.83805978,83.805977,06043000101
06113011400,114,4076,138.15834,.85422814,85.422813,06113011400
06037577000,5770,7288,44.200001,.36096498,36.096497,06037577000
06085503708,5037.0801,2955,41.366665,.340947,34.0947,06085503708
06037553502,5535.02,4066,42.224998,.34967279,34.967278,06037553502
06001441523,4415.23,4418,19.958334,.22796099,22.796099,06001441523
06071010009,100.09,4025,128,.78596175,78.596176,06071010009
06037190520,1905.2,3979,58.758335,.43564737,43.564735,06037190520
06037900606,9006.0596,3532,140.825,.88040549,88.04055,06037900606
06037134104,1341.04,4618,127.26667,.77499038,77.499039,06037134104
06001438300,4383,3767,19.1,.21743873,21.743874,06001438300
06037113101,1131.01,3719,103.725,.59822917,59.822918,06037113101
06085511912,5119.1201,5678,53.233334,.40382394,40.382393,06085511912
06037267300,2673,4235,4.6083331,.036058001,3.6058002,06037267300
06019000502,5.02,3594,143.14166,.90523547,90.523544,06019000502
06099003909,39.09,5992,122.475,.72122419,72.122421,06099003909
06075015801,158.00999,3837,4.2583332,.032080073,3.2080073,06075015801
06037401603,4016.03,2951,115.64167,.652637,65.263702,06037401603
06053011303,113.03,4175,106.68333,.61260104,61.260105,06053011303
06029002700,27,5903,144.52499,.92255872,92.255875,06029002700
06037208904,2089.04,3978,36.275002,.31342229,31.34223,06037208904
06037407302,4073.02,3503,126.56667,.76555884,76.555885,06037407302
06065041704,417.04001,3815,129.89999,.80007702,80.007706,06065041704
06085504421,5044.21,5437,18.008333,.21089439,21.089439,06085504421
06099001002,10.02,3284,118.99167,.68490952,68.490952,06099001002
06037103102,1031.02,4734,82.416664,.51065058,51.065056,06037103102
06037576502,5765.02,4658,40.891666,.3348518,33.48518,06037576502
06113010902,109.02,6110,129.73334,.79834467,79.834465,06113010902
06037104403,1044.03,3341,111.41666,.63120747,63.120747,06037104403
06037602506,6025.0601,4297,8.083333,.078532018,7.8532019,06037602506
